epoch,pos_train,neg_train,pos_test,neg_test
0,0.44339436253902575,1.0299360539147584,0.4426746284599029,1.0272784526197811
1,5.936798243524777,0.0026742814063748653,5.935504481867443,0.0026487895086833467
2,5.935924035841989,0.002673128127750947,5.934126900706539,0.0026500135986426976
3,5.934234630889008,0.002672377488293096,5.931823192514152,0.0026499838055348947
4,5.932544688676128,0.002670950610982064,5.929419469587311,0.002648482212996317
5,5.9308055860384155,0.002669526924246362,5.926941923512308,0.002646934926379174
6,5.929081037519869,0.002667947857541226,5.924416925308757,0.0026452390517003543
7,5.9271147080345195,0.002666458562256323,5.921731370128851,0.0026435375806734386
8,5.925116592330859,0.0026647252323221612,5.918861814560059,0.0026414156900130157
9,5.922852026146033,0.0026630710835787693,5.915790682440828,0.0026392815015259252
10,5.920407388599848,0.002661226544682539,5.912394922306951,0.002636629811793423
11,5.917775560110528,0.0026592070107418586,5.908704013376381,0.002633563818862772
12,5.91478358255231,0.0026571301901449395,5.9046630659903645,0.002630112143455321
13,5.911587744452921,0.0026548213273133786,5.9002514221234375,0.0026260259088550343
14,5.9080999565666374,0.002652262036927105,5.895381347847467,0.0026211272771391237
15,5.904227484874698,0.002649388434638005,5.889930896217175,0.0026151600990806934
16,5.900212177294382,0.0026461662685809233,5.884233712837698,0.0026082933835649413
17,5.89623129690053,0.002642541482347048,5.8783482755776655,0.00260028463685682
18,5.892530366692253,0.002638329073278456,5.872524494616977,0.002590795371536814
19,5.88956448910689,0.0026333309687148875,5.867199380969949,0.002579648236809451
20,5.887762669567015,0.0026275805925421065,5.863009344779672,0.00256692133106613
21,5.887977849144473,0.0026205548622654992,5.860600776704881,0.0025518525933647673
22,5.891087629149884,0.0026120520387561976,5.861074727367095,0.0025341273644154507
23,5.8984307277109265,0.00260149295569284,5.865729653782022,0.0025130329626761316
24,5.911538250974113,0.002588202328831309,5.876154684299265,0.0024873030884904777
25,5.932291022877751,0.0025716629088437613,5.894563767288193,0.0024543248660770624
26,5.963450705706042,0.002550391484385894,5.92388067145488,0.0024090756845461135
27,6.0091243722832965,0.0025223298627311814,5.968463235315612,0.0023432386717875176
28,6.076113809694409,0.002483614672124427,6.035387363385328,0.0022424783512948743
29,6.176732689949673,0.0024256508294102494,6.137204999670563,0.0020832298626773495
30,6.334363391286278,0.002327902658672788,6.297586722340903,0.0018320990571089268
31,6.59157457194643,0.002145044808832096,6.559327011765214,0.001458172639966815
32,7.011105989304667,0.001813915739403561,6.98541442229421,0.000983365196653363
33,7.633747066596097,0.001347596164574997,7.616811058473327,0.0005376829400328021
34,8.381063440437499,0.0009181704778045882,8.37518259876337,0.00025718365119411504
35,9.060423398542827,0.0006640635747956925,9.066834800560203,0.0001306016596039683
36,9.54509599135156,0.0005629270589257305,9.564242141922005,8.026885360994385e-5
37,9.841547478689765,0.0005490394085996177,9.872976373452222,5.967546780478727e-5
38,10.008000207718087,0.000576055172535872,10.050382724842688,5.088834352342531e-5
39,10.096371677692373,0.0006092358578363556,10.147490896912995,4.7385483552808696e-5
40,10.140875775076138,0.0006171954348336506,10.197759208982413,4.6573986434950144e-5
41,10.16144053121764,0.0005800105330516115,10.220643193304648,4.729489438997092e-5
42,10.16878891099855,0.0005024532671514938,10.226910098620374,4.9012591058783525e-5
43,10.167665136708907,0.00040830831110982103,10.221694583662133,5.152701807737969e-5
44,10.158782142851837,0.0003207312299919194,10.206297859495745,5.4872038354325527e-5
45,10.139960450350323,0.00025117684139348563,10.179137604965387,5.92718487535393e-5
46,10.107183450945222,0.00020131228859036435,10.13667022753247,6.512602562303016e-5
47,10.055429872161197,0.00016856337375098382,10.074335586476089,7.304653862423293e-5
48,9.97930843694672,0.00014959315030449203,9.987073399213495,8.39116038719112e-5
49,9.873944238315806,0.00014187495230693316,9.87033209838857,9.896045081987381e-5
50,9.735117581439109,0.00014415397049782896,9.720105367338066,0.00011996459066727638
51,9.559968223340949,0.00015660518471927176,9.533722125283472,0.00014944234602198847
52,9.348065327594488,0.00018086040132174,9.31091258210986,0.0001908221465845017
53,9.104510394356568,0.0002195852553714338,9.05690896236689,0.00024794228455533586
54,8.84552175892796,0.0002743800260265377,8.788191184979187,0.0003224246088691096
55,8.60007984147843,0.0003414654148812504,8.534139781803109,0.0004085010176917869
56,8.401885147037481,0.00040827972554908284,8.328858011270665,0.0004896772506507219
57,8.275080671467316,0.0004575168664585602,8.196817529747044,0.0005451634004868921
58,8.224536992206708,0.0004781039170100026,8.142916152182426,0.0005637682870104577
59,8.23851460959671,0.0004711283902681175,8.155210738629501,0.0005498729827768222
60,8.294676861449792,0.0004472003340229532,8.210921609849802,0.0005181004965241875
61,8.366185810722577,0.0004197482046548018,8.282753475230134,0.0004845436646785828
62,8.425283849255297,0.0004006783715729551,8.342440285852875,0.0004619602862737437
63,8.448421795249857,0.00039872232077329015,8.365899802579376,0.0004587153826185464
64,8.422360266518718,0.000419764424218262,8.339405583080943,0.00047949599038048517
