epoch,pos_train_loss,neg_train_loss,pos_test_loss,neg_test_loss,pos_train_acc,neg_train_acc,pos_test_acc,neg_test_acc
0,8.241504551732836,,8.241504354473111,8.23789671087492,0.0,,0.0,1.0
1,4.358933328961815,4.377487488923029,4.358984210769175,4.375981597257277,0.881461061337009,0.6147484493452792,0.8944099378881988,0.6273291925465838
2,2.3572414979119496,2.442733473611816,2.35732017785412,2.4406148135304804,0.9524465885596141,0.321157822191592,0.9440993788819876,0.3105590062111801
3,1.3930857549313356,1.4923921048531175,1.3931368183200168,1.489047555448758,0.9682977257064094,0.2653342522398346,0.9627329192546584,0.2857142857142857
4,0.980887959200696,1.0240672758478326,0.9809630093406568,1.0221537206810076,0.8807718814610613,0.5603032391454169,0.8757763975155279,0.5714285714285714
5,0.8050680198637176,0.8247643744134083,0.8051118501222312,0.8235079007414563,0.8407994486560992,0.6471399035148173,0.8509316770186336,0.6521739130434783
6,0.7404530485009416,0.7394669495233624,0.7404697714499382,0.7385899857584068,0.7698139214334941,0.7725706409372847,0.7577639751552795,0.8198757763975155
7,0.7190598235625083,0.7022916010708703,0.7190608842385978,0.7019569264859152,0.0,1.0,0.0,1.0
8,0.7072360838742784,0.690719810453366,0.7072335270597784,0.6906570766971855,0.0,1.0,0.0,1.0
9,0.7013718632322948,0.6883035410392153,0.7013714111655217,0.6882997373193618,0.0,1.0,0.0,1.0
10,0.6989804592933354,0.6882305081790289,0.6989804146588301,0.6882301070207947,0.0,1.0,0.0,1.0
11,0.6973413794281255,0.6891960408195517,0.6973413764786994,0.6891960057930255,0.0,1.0,0.0,1.0
12,0.6969901957911526,0.6893790465168085,0.6969901955760545,0.6893790437750604,0.0,1.0,0.0,1.0
13,0.6965887254556644,0.6897351985183398,0.6965887254434301,0.6897351984441727,0.0,1.0,0.0,1.0
14,0.6963767851644203,0.6899347036618242,0.6963767851637688,0.6899347036555717,0.0,1.0,0.0,1.0
15,0.696046908632788,0.6902590955611095,0.696046908632758,0.6902590955608237,0.0,1.0,0.0,1.0
16,0.6956375009584226,0.6906649168012731,0.6956375009584218,0.6906649168012645,0.0,1.0,0.0,1.0
17,0.6955379220766835,0.6907635686463833,0.6955379220766658,0.6907635686463699,0.0,1.0,0.0,1.0
18,0.695344257261672,0.6909560156868797,0.6953442572616557,0.6909560156868834,0.0,1.0,0.0,1.0
19,0.6948039302546015,0.6914937799550385,0.6948039302546116,0.6914937799550135,0.0,1.0,0.0,1.0
20,0.69547426009879,0.6908266093244899,0.6954742600988064,0.6908266093244717,0.0,1.0,0.0,1.0
21,0.6946187617114895,0.6916782056417792,0.6946187617114996,0.6916782056417828,0.0,1.0,0.0,1.0
22,0.6945581350624718,0.6917386160471253,0.6945581350624649,0.6917386160471051,0.0,1.0,0.0,1.0
23,0.6944618038296557,0.6918346299360383,0.6944618038296679,0.6918346299360546,0.0,1.0,0.0,1.0
24,0.6946353172453413,0.6916616973815969,0.6946353172453317,0.6916616973815874,0.0,1.0,0.0,1.0
25,0.6944729913858784,0.6918234760028386,0.6944729913858968,0.6918234760028635,0.0,1.0,0.0,1.0
26,0.6942976802530421,0.6919982671575147,0.6942976802530297,0.6919982671575339,0.0,1.0,0.0,1.0
27,0.6943463015965969,0.6919497825468851,0.6943463015965777,0.6919497825468842,0.0,1.0,0.0,1.0
28,0.6943251605541704,0.6919708633902301,0.6943251605541614,0.691970863390239,0.0,1.0,0.0,1.0
29,0.6943839071110459,0.6919122866837666,0.6943839071110453,0.6919122866837849,0.0,1.0,0.0,1.0
30,0.6945488462380078,0.6917478685249755,0.6945488462379888,0.6917478685249574,0.0,1.0,0.0,1.0
