arXiv,prediction
astro-ph/0001001,0.02122400659372842
astro-ph/0001002,0.024091349843628054
astro-ph/0001003,0.019980683238427593
astro-ph/0001006,0.018851183700487995
astro-ph/0001007,0.019278508578967967
astro-ph/0001009,0.018132470093196185
astro-ph/0001010,0.019355835655891714
astro-ph/0001011,0.02202172915841665
astro-ph/0001016,0.020013750786376516
astro-ph/0001019,0.021290850379518212
astro-ph/0001021,0.019090056412066868
astro-ph/0001022,0.020214403701225993
astro-ph/0001023,0.023399556883627957
astro-ph/0001024,0.018812589850248477
astro-ph/0001026,0.019821754962143938
astro-ph/0001027,0.01993602025157207
astro-ph/0001030,0.019466132477186364
astro-ph/0001032,0.02034210133006607
astro-ph/0001034,0.020539152368316858
astro-ph/0001038,0.019272661151727325
astro-ph/0001039,0.020033105199323536
astro-ph/0001043,0.017656061739747476
astro-ph/0001044,0.017972734874740368
astro-ph/0001046,0.023871879549149648
astro-ph/0001049,0.01847271126011652
astro-ph/0001052,0.018735514605532903
astro-ph/0001053,0.018064509924683538
astro-ph/0001054,0.01907941762250789
astro-ph/0001055,0.023439311634783383
astro-ph/0001057,0.019089043661936922
astro-ph/0001060,0.01831587961256911
astro-ph/0001063,0.019406437672638263
astro-ph/0001064,0.01900283494417771
astro-ph/0001066,0.01869899820554154
astro-ph/0001067,0.018450248601495123
astro-ph/0001068,0.018379274939611612
astro-ph/0001070,0.023244869028424885
astro-ph/0001072,0.018248460183095706
astro-ph/0001075,0.02042088786145042
astro-ph/0001076,0.017805220727135588
astro-ph/0001078,0.022502792294293153
astro-ph/0001080,0.018238478157877745
astro-ph/0001081,0.022451162181035263
astro-ph/0001082,0.019117756484403392
astro-ph/0001083,0.019159025755188085
astro-ph/0001084,0.020428966778492815
astro-ph/0001086,0.021965703491987367
astro-ph/0001087,0.0191356766126357
astro-ph/0001089,0.019051675012910246
astro-ph/0001090,0.020020181909722427
astro-ph/0001091,0.018615432578630235
astro-ph/0001092,0.019744011159131276
astro-ph/0001094,0.019409488454156958
astro-ph/0001096,0.02000430960332926
astro-ph/0001098,0.01962547882880369
astro-ph/0001100,0.017706084547856365
astro-ph/0001102,0.0190809561226434
astro-ph/0001103,0.02171183568620203
astro-ph/0001104,0.021367542607556533
astro-ph/0001105,0.01924721511663613
astro-ph/0001106,0.019691993863795564
astro-ph/0001107,0.01855203024544634
astro-ph/0001108,0.021667083862496425
astro-ph/0001113,0.020397708046420628
astro-ph/0001116,0.024273411632874484
astro-ph/0001118,0.022495845607650743
astro-ph/0001120,0.019084506579317442
astro-ph/0001124,0.018170330439924377
astro-ph/0001126,0.018265758732085007
astro-ph/0001132,0.023692058908268546
astro-ph/0001133,0.018051365754527395
astro-ph/0001135,0.0188866878565629
astro-ph/0001140,0.01849695488399501
astro-ph/0001141,0.01806895104228013
astro-ph/0001142,0.018834201207303534
astro-ph/0001143,0.01882901497435233
astro-ph/0001146,0.023249596120459532
astro-ph/0001147,0.01912157632701436
astro-ph/0001149,0.02312692599980493
astro-ph/0001152,0.018902195017252047
astro-ph/0001154,0.01815754031187435
astro-ph/0001155,0.019019732412192788
astro-ph/0001156,0.018205962716349087
astro-ph/0001157,0.01926009180947485
astro-ph/0001162,0.019063618718289172
astro-ph/0001163,0.019786424226745303
astro-ph/0001164,0.018503945182975018
astro-ph/0001166,0.017851225844728914
astro-ph/0001169,0.019747960941118782
astro-ph/0001170,0.018141473116087124
astro-ph/0001171,0.01912155538060226
astro-ph/0001172,0.018427349433190424
astro-ph/0001174,0.01924990725668031
astro-ph/0001175,0.019256733536816104
astro-ph/0001176,0.023904759916387904
astro-ph/0001179,0.01891508816449615
astro-ph/0001180,0.021126749040895676
astro-ph/0001181,0.01711181882251168
astro-ph/0001183,0.018847215420764844
