epoch,pos_train_loss,neg_train_loss,pos_test_loss,neg_test_loss,pos_train_acc,neg_train_acc,pos_test_acc,neg_test_acc
0,0.7415536352062699,,0.7413396623940579,0.7413312034947155,0.2222222222222222,,0.5,0.5
1,0.7354693903382102,0.7397749863251741,0.7377734655589122,0.7408164837437761,1.0,0.4444444444444444,1.0,0.0
2,0.7316787466756351,0.7387136262095759,0.7357337149254637,0.738030789155913,1.0,0.5,1.0,0.5
3,0.7319580255406366,0.7335811493621954,0.738017375600746,0.7328085419576021,0.8333333333333334,0.8888888888888888,0.0,1.0
4,0.735969545959189,0.7250501195535065,0.7440496893311852,0.7242195558167194,0.3888888888888889,1.0,0.0,1.0
5,0.7372627464166749,0.7207859869043671,0.747224862530898,0.7179162723504207,0.3888888888888889,1.0,0.0,1.0
6,0.7371178304255572,0.7171425945206501,0.7481357430833036,0.7130818899718663,0.3888888888888889,1.0,0.0,1.0
7,0.7320200426922869,0.7177393114568447,0.7432939661736757,0.7132474492042046,0.5,1.0,0.0,1.0
8,0.7220906410676705,0.7240846167036723,0.733966296665737,0.7184125993717002,0.7777777777777778,0.9444444444444444,0.5,1.0
9,0.714666588316402,0.7297457309694777,0.7271501228797547,0.7217223145943377,0.8888888888888888,0.6666666666666666,1.0,1.0
10,0.7061521417768372,0.7385033133477937,0.7195258258049965,0.7265245091823094,1.0,0.1111111111111111,1.0,0.5
11,0.6965518725982619,0.7432497673431815,0.7111460697699266,0.7329237267844844,1.0,0.0,1.0,0.5
12,0.6930080000386776,0.7443906199364556,0.7090434118272193,0.733622533695131,1.0,0.0,1.0,0.0
13,0.6929246879103952,0.7402909331666658,0.7104679951188051,0.7312366066274907,1.0,0.05555555555555555,1.0,0.5
14,0.6918353486086405,0.7424091121818848,0.7106101332198846,0.7300505112848942,1.0,0.0,1.0,0.5
15,0.6914843293944022,0.7348397822333994,0.7111132391722969,0.7281841754727951,1.0,0.05555555555555555,1.0,0.5
16,0.6916971409159071,0.7376994981642492,0.7119261851357457,0.7260645810187184,1.0,0.05555555555555555,1.0,0.5
17,0.6907721541504231,0.7345503930689126,0.7115777234168432,0.7253148300796397,1.0,0.2222222222222222,1.0,0.5
18,0.690035839897176,0.7317957046126744,0.7113568685295457,0.7243409530626463,1.0,0.16666666666666666,1.0,0.5
19,0.6913266823202449,0.7353521715312598,0.7130145936249526,0.7216217529396586,1.0,0.0,1.0,0.5
20,0.6948279882903031,0.7232705814276006,0.7163367408647898,0.7168335118676372,1.0,0.3888888888888889,1.0,0.5
21,0.7005650093194363,0.7199085926121617,0.7214967342459468,0.7101130476726604,1.0,0.5555555555555556,0.5,1.0
22,0.704988213223876,0.7106291696756996,0.7255170303494278,0.7047477476350323,0.8888888888888888,0.8888888888888888,0.0,1.0
23,0.7094350395611771,0.7076492468627493,0.7294858485569813,0.6994609443407961,0.8333333333333334,0.9444444444444444,0.0,1.0
24,0.7149516138063404,0.702633382108489,0.7341364093554112,0.6933788410247204,0.6666666666666666,0.9444444444444444,0.0,1.0
25,0.7200082592171414,0.6937911807100215,0.7385055865131451,0.6877882661517457,0.6111111111111112,1.0,0.0,1.0
26,0.7224220043963421,0.6893205629953975,0.7407663711310815,0.6846687919519372,0.4444444444444444,1.0,0.0,1.0
27,0.7214261174986601,0.6907702045698871,0.7398374957547456,0.6845943313297111,0.5,1.0,0.0,1.0
28,0.7187194583429283,0.6916395318630654,0.7372232056170355,0.6860037539069574,0.5555555555555556,1.0,0.0,1.0
29,0.7160227026789913,0.6913689858840767,0.7346258860981631,0.6875772854053791,0.6111111111111112,1.0,0.0,1.0
30,0.7137696570169345,0.6945033925357604,0.7325704674791165,0.6889877641882184,0.6111111111111112,1.0,0.0,1.0
31,0.7109472942920765,0.6970423598562211,0.7298650880314046,0.6910575588382425,0.6111111111111112,1.0,0.0,1.0
32,0.7084108551940754,0.6967837603162743,0.7273366566769395,0.6929957553333914,0.7222222222222222,0.8888888888888888,0.0,1.0
33,0.7063820946478261,0.6988519312456831,0.7251548476659354,0.6943864794327199,0.7777777777777778,0.9444444444444444,0.0,1.0
34,0.7037625395716522,0.7025202603854777,0.7222446865058965,0.6962689585116171,0.8333333333333334,0.9444444444444444,0.0,1.0
35,0.7008253235625252,0.7052304014776568,0.7190514835047055,0.6985156033464772,0.8333333333333334,0.7222222222222222,0.0,1.0
36,0.6992514980608893,0.7070772902567656,0.717095702449799,0.6994761540267281,0.8333333333333334,0.8333333333333334,0.0,1.0
37,0.6991702640455878,0.7054018071444559,0.7166502646546941,0.6990201552627664,0.8333333333333334,0.8333333333333334,0.0,1.0
38,0.6968429787358645,0.705087885309391,0.7144569730883262,0.7006959545503086,0.8888888888888888,0.8888888888888888,0.0,1.0
39,0.6927780519523927,0.7102250315835644,0.7108940763430072,0.704223036072902,1.0,0.7222222222222222,0.5,1.0
