epoch,pos_train_loss,neg_train_loss,pos_test_loss,neg_test_loss,pos_train_acc,neg_train_acc,pos_test_acc,neg_test_acc
0,0.7474894630458381,,0.7474826240857638,0.741871104870755,0.0,,0.0,1.0
1,0.6889139588439785,0.7374233414161963,0.6904395200667335,0.7371383838758333,0.9338387319090282,0.4293590627153687,0.9440993788819876,0.40993788819875776
2,0.676508478823052,0.730155281406313,0.6786961716059471,0.7283879173319132,0.9262577532736044,0.4583046175051689,0.9440993788819876,0.4720496894409938
3,0.6506127124457872,0.7436248667466009,0.6530551289942593,0.7429797583257075,0.9648518263266712,0.2984148862853205,0.9627329192546584,0.34782608695652173
4,0.6456024633127698,0.7408889211728965,0.6482221301189176,0.7403383281948797,0.9614059269469332,0.33218470020675395,0.9627329192546584,0.33540372670807456
5,0.6455083424996961,0.7360580026726292,0.648241847155293,0.7360596292392145,0.9448656099241902,0.3859407305306685,0.9565217391304348,0.4161490683229814
6,0.6327681456588979,0.7452666776351807,0.6356349832528019,0.7452537803482877,0.9607167470709855,0.3053066850447967,0.9627329192546584,0.32298136645962733
7,0.6321506218830155,0.743397264279005,0.6350756313634012,0.7436355030613574,0.9510682288077188,0.3549276361130255,0.9565217391304348,0.36645962732919257
8,0.6342469136548683,0.7401019937864091,0.6374463763077327,0.7401604116612923,0.9421088904203997,0.3804272915230875,0.9565217391304348,0.422360248447205
9,0.6321963228924334,0.7396912764049483,0.6353166758264155,0.7407417563318159,0.937973811164714,0.41212956581667815,0.9503105590062112,0.4409937888198758
10,0.6275532056369496,0.7444921029343702,0.6306733468315917,0.7441757288332007,0.9393521709166093,0.39696760854583046,0.9503105590062112,0.4409937888198758
11,0.6280041848967668,0.740708115268563,0.6312490767842448,0.7429333458975912,0.9262577532736044,0.45899379738111645,0.9440993788819876,0.4720496894409938
12,0.6209060908012466,0.7466157923148582,0.6243475230489054,0.7488313296822544,0.9303928325292902,0.41212956581667815,0.9440993788819876,0.453416149068323
13,0.6224985720747475,0.7457999172833586,0.6263051965544992,0.7468113418779719,0.9179875947622329,0.4472777394900069,0.9192546583850931,0.4782608695652174
14,0.6229262091634274,0.7432586667584973,0.6266786569559867,0.7457814508054016,0.9090282563749138,0.5148173673328739,0.9192546583850931,0.5093167701863354
15,0.6165884843092226,0.7489227600909201,0.6207890344785664,0.7513548935818025,0.9104066161268091,0.4879393521709166,0.9130434782608695,0.4906832298136646
16,0.6171162501853458,0.7480204081392389,0.6213723696832503,0.7504897648662294,0.9055823569951758,0.5051688490696071,0.9130434782608695,0.5093167701863354
17,0.6159683125623602,0.7517045071799235,0.6203411067580327,0.7510380565724367,0.9117849758787043,0.461750516884907,0.9130434782608695,0.4968944099378882
18,0.6209000504950487,0.7429090231649864,0.6253376482397968,0.7457290754867412,0.8931771192281185,0.5630599586492074,0.906832298136646,0.546583850931677
19,0.6221657658923807,0.7448642366069214,0.6266208310042386,0.7442637949471338,0.8890420399724328,0.5444521019986216,0.8944099378881988,0.5714285714285714
20,0.6209028007433768,0.7430548557298038,0.6258649457201634,0.7450604732671898,0.8869745003445899,0.5713301171605789,0.8819875776397516,0.5590062111801242
