arXiv,prediction
1204.5786,0.5350044581198902
0706.1257,0.6074837339634427
1412.1592,0.4892515189150901
1012.2978,0.4923191110092347
0705.3289,0.6055258747133154
astro-ph/9608189,0.4678347777731422
1006.2049,0.4328036590663136
astro-ph/0306550,0.4929284779388061
1403.7555,0.45165918060601873
1502.03994,0.4754506395416313
1306.5378,0.4474525064898957
1203.3822,0.4264098988828455
astro-ph/0511338,0.4474432664483637
1308.0340,0.4659194677332185
1211.3433,0.45846628918488025
0711.2646,0.4373723024640555
1308.3551,0.4174611160868269
astro-ph/9607125,0.41816940516004875
0805.0001,0.49870265333002955
0805.0413,0.4392821266860914
1603.08875,0.46104706473417834
1605.05973,0.4716790011620705
1308.0283,0.49620322584632437
1612.04726,0.4452421528311559
astro-ph/0303302,0.4748461481115758
1603.07299,0.45708979601528876
1312.0003,0.551640858546765
1509.03461,0.47635919342833466
hep-ph/9705357,0.4852458019192216
astro-ph/0002051,0.451614546359241
astro-ph/9710006,0.47587291060294623
1505.07129,0.4405289804812519
1706.02833,0.46762004165373644
1206.5552,0.45614256273037507
astro-ph/0009006,0.5042550551667386
1611.05516,0.4815868735425885
0805.1512,0.4388203662107379
1602.08373,0.487817915061157
astro-ph/0110604,0.47363204440009976
1212.6612,0.4932361662262499
astro-ph/9911528,0.6107633679005138
1510.07046,0.6056736244212257
astro-ph/0701380,0.431812444076076
astro-ph/0106454,0.44907052570192685
astro-ph/9610147,0.6102390950756857
1508.07220,0.502778689128933
0811.4480,0.4904147406535222
0801.0617,0.44675873600820887
1407.1975,0.47144915251595887
0711.1025,0.5023375364789507
astro-ph/0111528,0.49981705570391277
hep-ph/0501100,0.42779947738888285
astro-ph/0105196,0.44185457784736487
astro-ph/9610264,0.46713858101907996
1408.1697,0.6075371432497431
1105.0255,0.4642190791442375
0706.1982,0.4756870940186158
1708.02449,0.48965120138608076
1412.3458,0.45842563375408
1701.03798,0.46666140848328963
astro-ph/0002334,0.44498283866036287
1308.0276,0.4523296572143403
1510.00029,0.4673138651501761
astro-ph/0301629,0.6112609976782293
1211.7062,0.45666051387153067
1503.08212,0.444409382550122
astro-ph/0009040,0.4864779343665592
1505.04798,0.4464581078289901
1309.4060,0.47365391852509137
1612.07326,0.4603967852743198
astro-ph/0203175,0.4895759935646125
1601.02630,0.6075114745687175
0809.0403,0.6038659893501049
1512.06239,0.41597422462473704
1704.05401,0.49168346775722777
1604.05336,0.4289440933466748
1708.06155,0.4901821879021503
astro-ph/0212280,0.4269323026429598
astro-ph/0612091,0.4868102517081914
astro-ph/0304094,0.45282785320565
astro-ph/0103194,0.45215846613989513
0809.2595,0.452997921268364
1009.4361,0.4524751377567681
1506.00451,0.6076117990367007
1311.6812,0.5050323866311506
