arXiv,prediction
0910.2193,0.6115603403776375
astro-ph/0401039,0.4919120005765026
astro-ph/0408548,0.6067651677318117
0907.4524,0.6110254389420826
astro-ph/0402466,0.6126093106851703
astro-ph/0106012,0.6100900207450535
astro-ph/0001162,0.5558938551235383
astro-ph/9906345,0.554140770364463
astro-ph/9911046,0.6102095652308314
astro-ph/0212363,0.6137270327388689
astro-ph/0511012,0.6117022344987884
astro-ph/9801254,0.4999757400763665
astro-ph/9611105,0.5521180657018354
astro-ph/0401195,0.5516756882591836
astro-ph/0403688,0.609746569950958
astro-ph/0510643,0.6124758116565423
astro-ph/0210002,0.6118411179820312
astro-ph/0405374,0.6112219977751996
astro-ph/0207356,0.610055920934755
astro-ph/9808321,0.4948103471733117
astro-ph/9506090,0.6085812879145828
astro-ph/9812417,0.612936591686312
astro-ph/9702224,0.5036656318682741
astro-ph/0110246,0.5051107855389388
0805.0377,0.49316271148909097
astro-ph/0305259,0.6111365086740439
astro-ph/0203205,0.607844833963592
astro-ph/0005558,0.6076101100791077
astro-ph/9804188,0.6114443310042487
astro-ph/0609249,0.6088511734664643
0709.3470,0.6099055607958287
astro-ph/0405115,0.6056062779874739
astro-ph/9901157,0.6133899883386484
astro-ph/0407134,0.6078831988504186
astro-ph/0610284,0.6102910710479476
astro-ph/0508540,0.6111727728851383
0807.2448,0.6097194568524246
astro-ph/0703369,0.6102125293930546
astro-ph/9710076,0.4901560870092726
astro-ph/9907062,0.6089811480533073
0708.2164,0.5634100692029687
astro-ph/9904168,0.49397410020363747
astro-ph/0404386,0.6081967927294678
astro-ph/0104430,0.6098019387542667
astro-ph/0603449,0.6108332090083111
astro-ph/9907257,0.6087842613782513
astro-ph/9311072,0.49929627391407083
astro-ph/9903117,0.5055891640545801
astro-ph/0512349,0.6109989414058279
astro-ph/0501174,0.6067884635544519
0910.1310,0.5472325738384263
astro-ph/9805326,0.611377067647674
astro-ph/0504404,0.610528152862307
astro-ph/0507215,0.6111224525564817
astro-ph/0410612,0.5567940152408994
astro-ph/0407022,0.6098383648701599
astro-ph/9904118,0.6099591902156878
astro-ph/9701201,0.6128096171817613
astro-ph/0703570,0.6110017630301248
astro-ph/9901304,0.5154192841866605
0704.1654,0.5562826343203691
0909.3098,0.6092866709002764
astro-ph/0401138,0.5095294671969854
astro-ph/9802059,0.6104948339494625
astro-ph/0010039,0.5412426180680238
astro-ph/9907228,0.6092699119715291
astro-ph/9805024,0.6093610902612469
astro-ph/0211244,0.5610818175984784
astro-ph/0212497,0.5561162166634407
1003.2559,0.6084379242284326
astro-ph/9907258,0.6107794998407399
astro-ph/0211186,0.6098825344804166
astro-ph/0603643,0.6128910149332913
astro-ph/0011478,0.6101275339180247
astro-ph/9908149,0.6106586933048337
astro-ph/9702173,0.4893227867060917
astro-ph/0306216,0.6110613054919917
astro-ph/0101213,0.5583736620035394
astro-ph/9904245,0.5084045597099234
astro-ph/9702017,0.6129548626410485
astro-ph/0212075,0.6096079891916331
astro-ph/0401273,0.49092871841687374
astro-ph/9812226,0.5589217885486171
astro-ph/9612237,0.542566460199733
astro-ph/9612169,0.6101841167382062
astro-ph/0006397,0.49445800010151914
astro-ph/9705002,0.48969067681111633
astro-ph/0302280,0.6095165615353734
astro-ph/0702146,0.6112975992185811
astro-ph/0302006,0.6105410321914041
astro-ph/9912149,0.49088880369237653
astro-ph/0307457,0.608693056552892
astro-ph/9907333,0.6124027634726018
0812.2720,0.6098984832701375
astro-ph/9901351,0.6126419409089017
astro-ph/9509034,0.6109459152953073
astro-ph/9708254,0.6089373792587076
1002.2570,0.49466590021729673
astro-ph/0612400,0.6141799705602
astro-ph/0302031,0.6113388137828399
astro-ph/0201551,0.6079112499351643
astro-ph/9801256,0.6108491265802727
astro-ph/0005450,0.5599669453287627
astro-ph/0310174,0.6094751300629621
astro-ph/0603647,0.6097898398586706
0909.1807,0.5357688508920264
astro-ph/9812133,0.6094553580505052
astro-ph/0102496,0.4986230968431294
astro-ph/9904356,0.49350777393849876
0905.2967,0.5553789932918962
astro-ph/0310873,0.5568736534269744
astro-ph/0303009,0.48911974353053816
astro-ph/9601088,0.6106265724127443
astro-ph/0408252,0.5629156591067677
astro-ph/0402512,0.6077302144565064
astro-ph/0301037,0.4941489544652365
astro-ph/0212375,0.6120803171614794
astro-ph/0302560,0.6082636246753054
0803.0732,0.6142413051646995
astro-ph/0101361,0.611112753673143
astro-ph/0703034,0.6107970195909839
astro-ph/0501458,0.5561644092777008
astro-ph/9811278,0.6072776849087707
astro-ph/0407497,0.6122533106580101
astro-ph/0205490,0.6125376752650548
astro-ph/0507583,0.6120243857674249
astro-ph/0605303,0.609502653143239
astro-ph/9906286,0.5545782794458427
astro-ph/9604020,0.6059022127349095
astro-ph/9904389,0.6119245596441647
astro-ph/0006170,0.514361178005562
astro-ph/0212276,0.6140672256176702
astro-ph/9701177,0.4898314454079819
astro-ph/9501074,0.6091814843691773
astro-ph/9703043,0.6099870242871073
astro-ph/0011452,0.541546544516484
0709.2195,0.6111871961753108
astro-ph/0203131,0.6090837395006358
0907.4371,0.4933541806647669
astro-ph/9702152,0.6102804911001396
