arXiv,prediction
1204.5786,0.5323077054713071
0706.1257,0.613431636150375
1412.1592,0.4914676346810938
1012.2978,0.49503059662583193
0705.3289,0.6123754765801487
astro-ph/9608189,0.46945312027751346
1006.2049,0.43208616876463696
astro-ph/0306550,0.4982340310147505
1403.7555,0.4516755784816265
1502.03994,0.47210738928005963
1306.5378,0.44350467276858496
1203.3822,0.4257113706795848
astro-ph/0511338,0.44665916332410704
1308.0340,0.46888679682780904
1211.3433,0.45769448456433764
0711.2646,0.4360962873656515
1308.3551,0.413913289214018
astro-ph/9607125,0.4153826203779647
0805.0001,0.49616878819384036
0805.0413,0.4340807737894904
1603.08875,0.46368499247417083
1605.05973,0.47393069903404744
1308.0283,0.49201535066476104
1612.04726,0.4435554760918897
astro-ph/0303302,0.4759860040618718
1603.07299,0.45469553167767596
1312.0003,0.5467555502009109
1509.03461,0.47275146865833617
hep-ph/9705357,0.49118799023902937
astro-ph/0002051,0.4512521449213124
astro-ph/9710006,0.4765485961339843
1505.07129,0.4396229602009082
1706.02833,0.47150993275139214
1206.5552,0.45084705404650965
astro-ph/0009006,0.5006194817365878
1611.05516,0.4814718523377806
0805.1512,0.43635291517245145
1602.08373,0.49144792718138286
astro-ph/0110604,0.4753116652630007
1212.6612,0.4979437731463448
astro-ph/9911528,0.616165183402467
1510.07046,0.6107411557971153
astro-ph/0701380,0.4306295402042985
astro-ph/0106454,0.448588481042793
astro-ph/9610147,0.6151870793738397
1508.07220,0.49838261509199894
0811.4480,0.49229662923886985
0801.0617,0.4446866492408678
1407.1975,0.47344097328785795
0711.1025,0.4983124981036377
astro-ph/0111528,0.49777257903509536
hep-ph/0501100,0.42256141146730813
astro-ph/0105196,0.43801937775138866
astro-ph/9610264,0.465649491154257
1408.1697,0.6126981695769363
1105.0255,0.4671026189441283
0706.1982,0.4711996689650165
1708.02449,0.4941007199773922
1412.3458,0.4597136924603822
1701.03798,0.46947594417000904
astro-ph/0002334,0.44624157895132593
1308.0276,0.4562145914914498
1510.00029,0.47053104868197254
astro-ph/0301629,0.616443964754596
1211.7062,0.45680856952506144
1503.08212,0.4424809446867896
astro-ph/0009040,0.49159091145247724
1505.04798,0.44499849712669903
1309.4060,0.4754666874258506
1612.07326,0.45711061349647425
astro-ph/0203175,0.49586339801237583
1601.02630,0.6146077897727933
0809.0403,0.610783893138473
1512.06239,0.4137172841138744
1704.05401,0.49714916056489383
1604.05336,0.4300381322006274
1708.06155,0.49498063596209074
astro-ph/0212280,0.43010125798172677
astro-ph/0612091,0.49150835193205833
astro-ph/0304094,0.45111315475877306
astro-ph/0103194,0.4537052939384684
0809.2595,0.4532610125843173
1009.4361,0.4528939177197949
1506.00451,0.6127382013847327
1311.6812,0.5025414063878879
hep-ph/9901404,0.4504279232791104
0802.0499,0.44434948706193755
1303.0555,0.49288184426684223
1312.1173,0.4978252448828414
0705.1546,0.44924006059309673
astro-ph/0506529,0.4480481290013324
1602.02154,0.4542382385055911
1303.5341,0.4608848576056759
astro-ph/0210263,0.44990282485586736
1706.02710,0.44860603696408247
astro-ph/0506376,0.4796564998841305
astro-ph/0610590,0.49615551134596847
1409.4804,0.6138470103526892
1403.6934,0.41012431379339437
astro-ph/0012437,0.4916396969891827
1408.1617,0.48040255375172136
astro-ph/0603250,0.49008421835712057
1108.4672,0.4742107981835406
astro-ph/0102034,0.4821142262934899
1010.4804,0.49395752332392556
astro-ph/0512347,0.6149334109490291
0710.3166,0.4507647410019252
astro-ph/9907324,0.4590924211435376
0706.3257,0.4638238201393065
1112.4141,0.4202717653351768
astro-ph/0111228,0.48826583139141605
astro-ph/9911146,0.4998590940493984
0707.1303,0.44251376594987657
hep-ph/9610400,0.418423897382155
astro-ph/0506219,0.44391261269123417
0711.1118,0.4511835393127095
1011.2062,0.42254392062561025
1502.00556,0.45663030431917573
astro-ph/9402033,0.47498205637406915
1708.00956,0.42491455991652105
1701.03209,0.4465329657818098
astro-ph/9608112,0.46900413955087733
astro-ph/0608040,0.4991895468674151
0710.3995,0.43068047988115477
1507.07843,0.45103321480827335
astro-ph/0404422,0.48333826913325434
0910.4208,0.45074771638902617
astro-ph/0003197,0.4443952977633778
0711.1815,0.6134671888613327
hep-th/0605039,0.4253813689819765
0904.2845,0.475708046415808
1204.3609,0.6176927389965857
1707.09101,0.4515664243269782
1408.2485,0.4633435440014272
1203.3452,0.4976696905896377
0909.4205,0.5028545019080817
0705.0538,0.493980230971406
gr-qc/9302005,0.4256302483021906
1201.5834,0.46915863334877045
astro-ph/0108440,0.45716782343706697
1603.08096,0.46309372246769837
1604.01467,0.4718966262439086
astro-ph/0212467,0.48838769847307484
1008.0614,0.4127998631928342
1204.2556,0.45233766427416655
1702.02943,0.48730563741183
0912.0015,0.4307591003819138
1001.1304,0.6112880679928907
0802.3324,0.41370516174987526
astro-ph/9501016,0.4471315386147439
astro-ph/0012205,0.48939510585809815
1612.06094,0.48626165292160767
astro-ph/0305202,0.5015638920482687
1409.4820,0.4488978025994078
astro-ph/0202260,0.5054566111533085
0710.5466,0.4916443729016106
1507.08676,0.4990466831759339
1104.3654,0.42725885141803305
1309.4093,0.5101047702952136
1611.09822,0.44243438807973773
1103.1364,0.45374108246269956
astro-ph/0412089,0.4482212784574922
astro-ph/0502312,0.5018632601965579
astro-ph/0211590,0.439987905508642
astro-ph/0010427,0.4941793841545971
hep-ph/0703034,0.47269442010631524
astro-ph/0406232,0.5451060631526264
1007.1676,0.5005214216778631
1106.2557,0.6143923566244234
1707.04270,0.4948846945233354
1008.5042,0.48710225917490724
